"","Plot.Name","Plot.Number","Artificial.Cover.Object.Number","Year","Date","Time","Survey.Number","Eastern.Redback.Salamander.Count","Artificial.Cover.Object.Age..year.s..","Observer.Names","Precipitation.in.the.Last.24.hours..mm.","Air.Temperature...C.","Soil.Temperature...C.","Beaufort.Sky.Class","Beaufort.Wind.Class","Soil.Moisture","Soil.pH","Morph","count"
"1","Cameron Lake Dunes","01 01","1","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"2","Cameron Lake Dunes","01 01","1","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"3","Cameron Lake Dunes","01 01","2","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"4","Cameron Lake Dunes","01 01","2","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"5","Cameron Lake Dunes","01 01","3","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"6","Cameron Lake Dunes","01 01","3","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"7","Cameron Lake Dunes","01 01","4","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"8","Cameron Lake Dunes","01 01","4","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"9","Cameron Lake Dunes","01 01","5","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"10","Cameron Lake Dunes","01 01","5","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"11","Cameron Lake Dunes","01 01","6","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"12","Cameron Lake Dunes","01 01","6","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"13","Cameron Lake Dunes","01 01","7","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"14","Cameron Lake Dunes","01 01","7","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"15","Cameron Lake Dunes","01 01","8","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"16","Cameron Lake Dunes","01 01","8","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"17","Cameron Lake Dunes","01 01","9","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
"18","Cameron Lake Dunes","01 01","9","2004","12/05/2004","1:20PM","1","1","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Leadback",NA
"19","Cameron Lake Dunes","01 01","10","2004","12/05/2004","1:20PM","1","0","<1","Brianna, Brad","5.8","21.3","N/A","0","2","N/A","6.8","Redback",NA
